,comment_id,comment_url,commenter_id,commenter_url,commenter_name,commenter_meta,comment_text,comment_time,comment_image,comment_reactors,comment_reactions,comment_reaction_count,replies
0,1061064065093152,https://facebook.com/1061064065093152,100064623192769,https://facebook.com/edmvco?eav=AfYeMqh7p8OHnbV9kBR3N_8wn28NlftEJGhPqi2RraLX4i_ySnf01IvcZqX9L9Ai7u0&fref=nf&rc=p&refid=52&__tn__=%7ER&paipv=0,EDM Vietnam Community,Tác giả,"Tuần Lễ Âm Nhạc Việt Nam - Vietnam Music Week 2023: Hội thảo Kinh doanh âm nhạc Việt Nam & Biểu diễn nhạc sống
🕘 Thời gian: 20 - 24.11.2023
📍 Địa điểm: Nhà hát VOH Music One, P. Đa Kao, Quận 1, Thành Phố Hồ Chí Minh
🎫 Mua vé tại: https://
ticketbox.vn/
event/
vietnam-music-we
ek-87438",2023-09-25,https://ticketbox.vn/event/vietnam-music-week-87438?fbclid=IwAR2IbOPA_WF-3kcd32tN-jG25eBJikFPb1j9JZwZIvd42wXfv5Ysae9ASXk,[],0,0.0,[]
1,746007517389746,https://facebook.com/746007517389746,100004233820245,https://facebook.com/thanhluan10497?eav=Afavm_v3aoVLzxcudBXDl8ce2mx45ZoSx906anSK1wuST6gmRLIJBIgoFnWJ5K9kYig&fref=nf&rc=p&refid=52&__tn__=R&paipv=0,Nguyễn Thành Luân,Người xem,Nguyễn Thành Luân,2023-09-25,https://scontent-iad3-2.xx.fbcdn.net/v/t39.1997-6/363366762_1628291841027388_5299236232863092238_n.webp?stp=cp0_dst-png_s110x80&_nc_cat=111&ccb=1-7&_nc_sid=fc3f23&efg=eyJpIjoidCJ9&_nc_ohc=mJNEXxZaG7oAX-1d77a&_nc_ht=scontent-iad3-2.xx&oh=00_AfCiJFM_HnrncyaJg-wo0BCdhsDLlNkq4-2B9D7fwYskCA&oe=65649306,[],0,0.0,[]
2,1587591868715101,https://facebook.com/1587591868715101,100004028093197,https://facebook.com/profile.php?id=100004028093197&eav=AfZ2msOs_OrwCFB0w8I-BrF0a7-XOcF_T5aziNQ9DpkI636iBQX7m2fWL0_Zbc7vhDc&fref=nf&rc=p&refid=52&__tn__=R&paipv=0,Duy Minh,Người xem,Duy Minh,2023-09-25,https://media2.giphy.com/media/dU03jW3KgknVAq9uhe/giphy.gif?cid=120c0147mcpc0bv22vv9eh677cc7219pimzanstokd1i73mv&rid=giphy.gif&fbclid=IwAR3DJUPsxFD018VgpzIQl1MrPptvlOMsVU5ESHLWI6lfBZw_NBv9L4EFcjg,[],0,0.0,[]
3,865432821690369,https://facebook.com/865432821690369,100064623192769,https://facebook.com/edmvco?eav=AfY-7w2v2_zcL-jawC6BuqNj1SWu4xO9sdAjyrVFAYIPi82WDxaKIVJiI64pwF4cErU&fref=nf&rc=p&refid=52&__tn__=%7ER&paipv=0,EDM Vietnam Community,Tác giả,Sắp được gặp idol rồi 🤭,2023-09-25,https://scontent-iad3-1.xx.fbcdn.net/m1/v/t6/An_UvxJXg9tdnLU3Y5qjPi0200MLilhzPXUgxzGjQzUMaNcmjdZA6anyrngvkdub33NZzZhd51fpCAEzNHFhko5aKRFP5fS1w_lKwYrzcNLupv27.png?ccb=10-5&oh=00_AfAGZ8yKHB4kMQI1R8fXgyzVJUje5KeeKxCipbF64SFcqg&oe=6586CEB9&_nc_sid=7da55a,"[{'name': 'Nga Phạm', 'link': 'https://facebook.com/profile.php?id=100036935145940&eav=AfaKOc5qOy45j_Rucq6GgaIRegWd4IdipSu1EWtPjh5Rc-Aw6-g7F1w5hVYAdt9dj9E&fref=pb&paipv=0', 'type': 'like'}]",{'like': 1},1.0,"[{'comment_id': '1960983700954033', 'comment_url': 'https://facebook.com/1960983700954033', 'commenter_id': '100087082511117', 'commenter_url': 'https://facebook.com/profile.php?id=100087082511117&eav=AfaWyfQEkMIic3psvWjf3o6AqSIuMRk6n6CSx5mRP49K_VHmilQcsobkZiQH0-3AqKU&fref=nf&rc=p&__tn__=%7ER&paipv=0', 'commenter_name': 'Làm Giàu Không KHó', 'commenter_meta': None, 'comment_text': 'Iphone 14 promaxx đang slae 4.999k nè:\nshope.ee/\n8KOnboqTlT', 'comment_time': None, 'comment_image': 'http://shope.ee/8KOnboqTlT?fbclid=IwAR110rvv3r7kD8ODnAKeuZXWujGZBYrBWqJZYhu4_-AjTYnG4-lz0v91ANI', 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None}]"
4,1783294532107184,https://facebook.com/1783294532107184,100005519463021,https://facebook.com/phamtamphong2101?eav=AfZuTj88-jJjEGnlU5xQSwIXXsZjleOrn5NebUsf2eANGN2v58_iWGw_JcP8g3WJHio&fref=nf&rc=p&refid=52&__tn__=R&paipv=0,Phạm Tâm Phong,Người xem,"Cho đi của anh, cụ thể là ném bánh vào mặt fan =))).",2023-09-25,https://scontent-iad3-1.xx.fbcdn.net/m1/v/t6/An_F9bJG7govfshSMBkvcRLcxT0jmiXVYKtr7lgH5AHgUrjjpZ1OD0xyxXYgf7arc0lWgCdrR_KN4Mg7RSN3Gm3W6Gg03N1tQ-ZXzVvFJ_KvvB4.png?ccb=10-5&oh=00_AfC61w54lAvl8Ky4X2-e0Mm9dGdKwLcV5XIHnh8zOgP9uQ&oe=6586D967&_nc_sid=7da55a,"[{'name': 'EDM Vietnam Community', 'link': 'https://facebook.com/edmvco?eav=AfbPaSLwJm1TCM2sr5SiX89ufSOnYlyjKE0gltiD1A8_OFo5S5GAUj93lzMDmthsWRk&fref=pb&paipv=0', 'type': 'haha'}]",{'haha': 1},1.0,"[{'comment_id': '250765037713225', 'comment_url': 'https://facebook.com/250765037713225', 'commenter_id': '100064623192769', 'commenter_url': 'https://facebook.com/edmvco?eav=AfY-7w2v2_zcL-jawC6BuqNj1SWu4xO9sdAjyrVFAYIPi82WDxaKIVJiI64pwF4cErU&fref=nf&rc=p&refid=52&__tn__=%7ERR&paipv=0', 'commenter_name': 'EDM Vietnam Community', 'commenter_meta': 'Tác giả', 'comment_text': 'Phạm Tâm Phong từ thiện :))))', 'comment_time': None, 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None}]"
5,673366088246124,https://facebook.com/673366088246124,100001835956619,https://facebook.com/profile.php?id=100001835956619&eav=AfZWijqEG0Hhjp2n-91vCB680Uhq7HOBbUsrYPb4KoBwkUsIVO5YgYfpxC6ozYGgGHE&fref=nf&rc=p&refid=52&__tn__=R&paipv=0,Bùi Phong,Người xem,Có Devon Aoki nữa là bao ngầu 🙂,2023-09-25,0,[],0,0.0,[]
6,312623428282465,https://facebook.com/312623428282465,100004329305435,https://facebook.com/piq1108?eav=AfbPfjhWRUGGtuG-EIJU94yZsjcewXOFyo_Q9qrtDRvM3EwszWrnB1_Vrh-wAjUJrvg&fref=nf&rc=p&refid=52&__tn__=%7ER&paipv=0,Minh Quân,Người xem,Cho nhiều bánh hơn hả anh Sờ ti vi ơ ơi,2023-09-25,0,[],0,0.0,[]
7,1409910569592689,https://facebook.com/1409910569592689,100034381972805,https://facebook.com/profile.php?id=100034381972805&eav=AfYakrOCJHl4wlPmpgUGBcRp8bHl-RTHp9YqCU8QOXpGzVVaI41jBKFUrnaPErRVa9Q&fref=nf&rc=p&refid=52&__tn__=R&paipv=0,Nguyễn Tuấn Ngọc,Người xem,Cụ thể là cho ăn bánh 🎂🍰🧁,2023-09-25,https://scontent-iad3-1.xx.fbcdn.net/m1/v/t6/An_F9bJG7govfshSMBkvcRLcxT0jmiXVYKtr7lgH5AHgUrjjpZ1OD0xyxXYgf7arc0lWgCdrR_KN4Mg7RSN3Gm3W6Gg03N1tQ-ZXzVvFJ_KvvB4.png?ccb=10-5&oh=00_AfC61w54lAvl8Ky4X2-e0Mm9dGdKwLcV5XIHnh8zOgP9uQ&oe=6586D967&_nc_sid=7da55a,"[{'name': 'Nga Phạm', 'link': 'https://facebook.com/profile.php?id=100036935145940&eav=AfYQrq9NRCIQVn4HPVncVNle2LI1G4xI8Hawf-M3aD3dj3g3fTb1qVtx2H3pLRZbA2M&fref=pb&paipv=0', 'type': 'haha'}, {'name': 'Tung Anh Trinh', 'link': 'https://facebook.com/tunganh.trinh.583?eav=AfauKV5_0NLBQZM1TVV6EAUuZy7rdB0tXLlU_iyVCGXo8Mo7ap5zj4XnHao-EiFafo4&fref=pb&paipv=0', 'type': 'haha'}]",{'haha': 2},2.0,"[{'comment_id': '286565541038161', 'comment_url': 'https://facebook.com/286565541038161', 'commenter_id': '100094392998272', 'commenter_url': 'https://facebook.com/profile.php?id=100094392998272&eav=AfaMwiYTiEoGhDd-cr3JgvNL5gyeiz74_AmgX4y43BDDHl0fYJrfCSAblPvogiCzOig&fref=nf&rc=p&__tn__=%7ER&paipv=0', 'commenter_name': 'Giải Ngân Éstee Lauder Việt Nam 62716685', 'commenter_meta': None, 'comment_text': 'Này cute lắm 🥰', 'comment_time': None, 'comment_image': 'https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/404874433_195534886936277_9117096697590179721_n.jpg?stp=cp0_dst-jpg_e15_q65_s206x206&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&efg=eyJpIjoidCJ9&_nc_ohc=i5XaXj0dx0oAX8C6AyF&_nc_ht=scontent-iad3-1.xx&oh=00_AfAkwMr-Fv3y9CML5TLp2-pPvFy_GyHP_fvcq1WElJdcJA&oe=65646520', 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None}, {'comment_id': '218552934597054', 'comment_url': 'https://facebook.com/218552934597054', 'commenter_id': '100036935145940', 'commenter_url': 'https://facebook.com/profile.php?id=100036935145940&eav=Afaiq0JObpFpGsEJtB7dilRUUQUmRl9MXDt2Jv7ltwK2IaQcgco1JM0c4-AlggdAVs4&fref=nf&rc=p&__tn__=R&paipv=0', 'commenter_name': 'Nga Phạm', 'commenter_meta': 'Fan cứng', 'comment_text': 'Nguyễn Tuấn Ngọc )))))', 'comment_time': None, 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None}]"
8,1288642748513207,https://facebook.com/1288642748513207,100037035819566,https://facebook.com/profile.php?id=100037035819566&eav=AfbPXXsHaYXwO4GfrRLR3QOTYncK3tDbapsPLEpZWB1wy8QPXv9AA1yytJbG1_o5NvU&fref=nf&rc=p&refid=52&__tn__=R&paipv=0,Như Thảo,Người xem,Làm dj giàu vậy s,2023-09-25,0,[],0,0.0,[]
9,3545629529018818,https://facebook.com/3545629529018818,100011143785244,https://facebook.com/NgocTrinh.36?eav=AfbmtzYpKIWQ0PzmkIfXT1HvcP7uvc2f0hZtb44T80noRLfK9i2PIqQpS6z_gFLwXB8&fref=nf&rc=p&refid=52&__tn__=R&paipv=0,Ngọc Trình,Fan cứng,Cho bánh,2023-09-25,0,[],0,0.0,[]
10,1058093508969804,https://facebook.com/1058093508969804,100036935145940,https://facebook.com/profile.php?id=100036935145940&eav=AfZpgulDmU-Asj01sC77XJLLTRZL3sLfJmRpzIfoJ8uGFKJ97Vf1tZLeb4JqefSyb_k&fref=nf&rc=p&refid=52&__tn__=R&paipv=0,Nga Phạm,Fan cứng,Cho fan ăn bánh,2023-09-25,0,[],0,0.0,[]
